Attr1_Str_qu,Attr2_OpPr_qu,Attr3_Costamount_norm,Attr4_RdDi_norm,Attr5_BrDi_norm,Attr5_Str_Type1,Attr5_Str_Type2,Attr5_Str_Type3,Attr6_Major_Type1,Attr6_Major_Type2,Attr7_Cshn1,Attr7_Cshn2,Attr7_Cshn3,Attr7_Cshn4,Attr8_Repha1,Attr8_Repha2,Attr8_Repha3,Attr9_Frctn0,Attr9_Frctn1,Attr10_Snsr0,Attr10_Snsr1,partnumber,s_nm,s_country,s_region,p_nm,p_bu,p_region
0.947368421,0.272727273,-0.2249627,0.634034468,1.165276185,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,47905408,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.789473684,0.272727273,-0.445822033,-0.038987927,0.034022165,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47605012,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.263157895,0,-0.587057585,-1.160691919,-0.955825102,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,5198883,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0.842105263,0.636363636,0.838469019,0.566732229,0.902259625,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91746418,ROSENBOOM MACHINE TOOL,United States,Region_1,FARGO MANUFACTURING PLANT,AG,Region_1
0.105263158,0.272727273,-0.516707003,1.75573846,0.31683567,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,47754561,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0.421052632,1,-0.315242803,-0.572919027,-0.359088607,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,48095131,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0,1,-0.602932046,-1.427657469,-1.433779925,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47766775,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.315789474,0.727272727,-0.074312492,-0.003093399,0.362085831,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,47922074,ROSENBOOM MACHINE TOOL,United States,Region_1,BURLINGTON MANUFACTURING PLT.,CE,Region_1
0.578947368,0.727272727,-0.548550229,-1.205560078,-1.380045359,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,87602982,SERTA S A,France,Region_2,CNH PLOCK,AG,Region_2
0.052631579,0.272727273,-0.476313572,-0.263328725,-0.673011597,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47625388,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH BASILDON,AG,Region_2
0.894736842,0,-0.362221777,-0.290249621,-0.715433623,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47364862,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.368421053,0.090909091,-0.23365436,-0.667142162,-0.814418349,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,51547647,SAHGEV SARL,France,Region_2,WMF-EU (GRAND ISLAND),AW,Region_2
0.894736842,0.454545455,-0.319313581,-0.290249621,-0.53443298,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47364858,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.736842105,0.272727273,-0.191736352,0.634034468,1.023869432,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,48045040,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.894736842,0.272727273,-0.292405583,0.185352872,-0.24879134,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,47811220,SERTA S A,France,Region_2,WMF-EU (GRAND ISLAND),AW,Region_2
0.842105263,0.272727273,-0.371636433,0.634034468,0.034022165,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,51672019,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.947368421,0.545454545,0.448303057,0.279576007,-0.178087964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,51659659,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.789473684,0.818181818,0.332245171,-1.142744655,-1.074606774,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47860091,MONARCH INDUSTRIES LTD,Canada,Region_1,CNH PLOCK,AG,Region_2
0.157894737,0.272727273,-0.507590976,-0.038987927,0.31683567,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,48137132,OGNIBENE HIDROSTATICA LTDA,Brazil,Region_3,CURITIBA,AG,Region_3
0.315789474,0.090909091,-0.523732631,-0.667142162,-0.673011597,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47625377,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0.105263158,0.272727273,-0.51510384,1.75573846,0.31683567,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,47754561,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH ANTWERPEN BELGIUM,AG,Region_2
0.684210526,0.272727273,-0.275195153,0.185352872,0.31683567,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47838056,SAHGEV SARL,France,Region_2,CNH ZEDELGEM BELGIUM,AG,Region_2
0.736842105,0.272727273,-0.45610114,-0.487669523,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47605013,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.210526316,0.090909091,-0.618334988,-1.295296398,-1.097231854,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47582858,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0,0,-0.066186654,1.75573846,0.31683567,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,47380860,SERTA S A,France,Region_2,CNH ZEDELGEM BELGIUM,AG,Region_2
0.684210526,0.272727273,-0.324908935,0.40969367,0.31683567,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,51494914,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,BELO HORIZONTE,CE,Region_3
0.210526316,0.272727273,-0.365302366,-0.038987927,0.88246268,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,90332474,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH ANTWERPEN BELGIUM,AG,Region_2
0.263157895,0,-0.613714106,-1.160691919,-0.955825102,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,5198883,OGNIBENE HIDROSTATICA LTDA,Brazil,Region_3,CURITIBA,AG,Region_3
0.526315789,0.181818182,-0.264585983,-0.038987927,0.181085188,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,84577089,OGNIBENE POWER S P A,Italy,Region_2,FARGO MANUFACTURING PLANT,AG,Region_1
0.052631579,0.090909091,-0.604440906,-0.599839923,-1.097231854,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,84327427,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH JESI DIVISION,AG,Region_2
0.210526316,0,-0.647521993,-1.295296398,-1.153794555,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,84249611,OGNIBENE INDIA PVT LTD,India,Region_4,NEW HOLLAND FIAT (INDIA) P LTD / NOIDA NEW DELHI TRACTOR PLT,AG,Region_4
